Year,Month&Quarter,Occ_rate,Occ_yoy,Guests_total,Guests_yoy,Total_vis,Vis_yoy,Thai_vis,Thai_vis_yoy,Foreign_vis,Foreign_vis_yoy,Rev_total,Rev_yoy,Rev_thai,Rev_thai_yoy,Rev_foreign,Rev_foreign_yoy,MotoGP,Covid,Marathon,PhanomRung_Festival,Football_Month,Football_date,Football_match
2559,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,มิถุนายน,18/6/2016,บุรีรัมย์ ยูไนเต็ด - โปลิศ เทโร เอฟซี
2559,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,มิถุนายน,26/6/2016,บุรีรัมย์ ยูไนเต็ด - แบงค็อก ยูไนเต็ด
2559,กรกฎาคม - กันยายน,43.2,2.42,"190,669",12.41,"315,119",8.65,"305,655",8.7,"9,464",7.12,500.76,18.18,488.27,18.21,12.49,17.06,0,0,0,0,กรกฎาคม,3/7/2016,บุรีรัมย์ ยูไนเต็ด - เชียงราย ยูไนเต็ด
2559,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,กรกฎาคม,17/7/2016,บุรีรัมย์ ยูไนเต็ด - พัทยา ยูไนเต็ด
2559,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,กรกฎาคม,20/7/2016,บุรีรัมย์ ยูไนเต็ด - สุโขทัย เอฟซี
2559,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,กรกฎาคม,30/7/2016,บุรีรัมย์ ยูไนเต็ด - บีบีซียู เอฟซี
2559,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,สิงหาคม,13/8/2016,บุรีรัมย์ ยูไนเต็ด - ซุปเปอร์ พาวเวอร์ สมุทรปราการ เอฟซี
2559,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,สิงหาคม,17/8/2016,บุรีรัมย์ ยูไนเต็ด - สงขลา ยูไนเต็ด
2559,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,กันยายน,10/9/2016,บุรีรัมย์ ยูไนเต็ด - บีจี ปทุม ยูไนเต็ด
2559,ตุลาคม - ธันวาคม,47.42,1.18,"203,180",10.79,"335,893",7.84,"331,097",7.85,"4,796",7.17,539.76,15.44,532.56,15.42,7.2,16.88,0,0,0,0,ตุลาคม,,
2558,มกราคม - มีนาคม,53.01,3.44,"201,384",15.01,"344,779",12.84,"335,217",13.03,"9,562",6.54,584.62,13.99,574.07,14.08,10.55,9.55,0,0,0,0,มกราคม,,
2558,เมษายน - มิถุนายน,48.8,5.54,"214,909",16.93,"473,536",12.67,"464,199",12.73,"9,337",9.49,563.46,11.58,552.61,11.59,10.85,11.4,0,0,0,1,เมษายน,,
2558,กรกฎาคม - กันยายน,40.78,5.17,"169,616",16.25,"290,039",15.8,"281,204",15.85,"8,835",14.32,423.72,21.85,413.05,21.79,10.67,24.36,0,0,0,0,กรกฎาคม,,
2558,ตุลาคม - ธันวาคม,46.24,2.35,"183,400",16.91,"311,479",14.33,"307,004",14.34,"4,475",13.49,467.57,19.6,461.41,19.61,6.16,18.23,0,0,0,0,ตุลาคม,,
2557,มกราคม - มีนาคม,49.57,-1.09,"175,095",2.06,"305,556",2.12,"296,581",2.01,"8,975",5.87,512.86,2.28,503.23,2.24,9.63,4.45,0,0,0,0,มกราคม,,
2557,เมษายน - มิถุนายน,43.2,2.63,"183,791",8.07,"420,303",6.32,"411,775",6.3,"8,528",7.24,504.97,9.85,495.23,9.7,9.74,18.06,0,0,0,1,เมษายน,,
2557,กรกฎาคม - กันยายน,35.6,5.45,"145,904",4.71,"250,469",4.52,"242,741",4.85,"7,728",-4.94,347.74,2.45,339.16,2.5,8.58,0.7,0,0,0,0,กรกฎาคม,,
2557,ตุลาคม - ธันวาคม,43.9,5.05,"156,867",8.54,"272,435",7.86,"268,492",7.92,"3,943",4.12,390.96,8.82,385.75,8.86,5.21,6.54,0,0,0,0,ตุลาคม,,
2556,มกราคม - มีนาคม,50.66,7,"171,569",6.89,"299,207",10.21,"290,730",10.38,"8,477",4.42,501.41,19.14,492.19,19.23,9.22,14.11,0,0,0,0,มกราคม,,
2556,เมษายน - มิถุนายน,40.6,6.25,"170,065",6.01,"395,322",9.1,"387,370",8.86,"7,952",22.6,459.7,21.1,451.45,20.94,8.25,30.33,0,0,0,1,เมษายน,,
2556,กรกฎาคม - กันยายน,30.16,4.9,"139,340",13.84,"239,648",8.29,"231,518",8.19,"8,130",11.23,339.42,11.43,330.9,11.3,8.52,16.71,0,0,0,0,กรกฎาคม,,
2556,ตุลาคม - ธันวาคม,38.84,8.38,"144,524",20.1,"252,582",13.8,"248,795",13.83,"3,787",11.74,359.26,19.02,354.37,19.07,4.89,15.33,0,0,0,0,ตุลาคม,,
